"Records","410","435","460","485","510","535","560","585","610","645","680","705","730","760","810","860","900","940","Capacitity Moist","Temp","Moist","EC (u/10 gram)","Ph","Nitro (mg/10 g)","Posh Nitro (mg/10 g)","Pota Nitro (mg/10 g)"
"137_0ml-5","731.7","151.18","380.87","93.71","180.56","162.8","28.27","34.77","138.7","50.1","82.78","8.94","16.99","16.1","34.15","107.16","14.98","6.2","2639","35.8","0","0","7.72","0","0","0"
"137_0ml-6","731.7","151.18","380.87","94.56","180.56","163.5","28.27","34.77","139.85","50.1","82.78","8.94","16.99","16.1","34.15","107.16","14.98","6.2","2635","35.8","0","0","7.76","0","0","0"
"137_0ml-7","731.7","151.18","379.96","89.49","180.56","155.08","26.9","33.13","132.92","50.1","88.77","8.59","16.18","15.3","34.15","102.74","14.98","6.2","2642","35.8","0","0","7.76","0","0","0"
"137_0ml-8","732.47","151.18","380.87","97.09","180.56","169.11","29.18","36","144.47","50.1","88.77","9.3","17.8","16.1","34.15","110.47","14.98","7.08","2639","35.8","0","0","7.76","0","0","0"
"137_0ml-9","732.47","151.18","380.87","94.56","180.56","163.5","28.27","34.77","139.85","50.1","82.78","8.94","16.99","16.1","34.15","107.16","14.98","6.2","2611","35.8","0","0","7.68","0","0","0"
"140_0ml-1","769.4","161.71","398.1","103","194.04","185.95","30.09","37.23","167.59","53.86","102.73","9.66","23.46","21.74","41.83","142.51","17.28","7.08","2649","37.9","0","0","7.28","0","0","0"
"140_0ml-10","767.09","161.71","397.19","100.47","193.29","181.74","29.64","36.41","164.12","53.49","102.73","9.66","22.65","20.93","41.83","140.3","17.28","7.08","2657","37.9","0","0","7.88","0","0","0"
"140_0ml-2","768.63","161.71","397.19","100.47","193.29","182.45","30.09","37.23","165.28","53.86","103.73","9.66","22.65","20.93","41.83","140.3","17.28","7.08","2684","37.9","0","0","7.28","0","0","0"
"140_0ml-3","767.86","161.71","397.19","103","193.29","183.15","30.09","37.23","165.28","53.49","102.73","10.02","22.65","20.93","41.83","148.03","17.28","7.08","2652","37.9","0","0","7.28","0","0","0"
"140_0ml-4","767.86","161.71","397.19","101.31","193.29","181.04","29.64","36.82","162.97","53.49","95.75","9.66","21.84","20.13","41.83","145.82","17.28","7.08","2650","37.9","0","0","7.87","0","0","0"
"140_0ml-5","767.86","160.75","397.19","101.31","193.29","183.85","30.09","37.23","166.43","53.49","102.73","9.66","21.84","20.13","40.98","140.3","17.28","7.08","2654","37.9","0","0","7.87","0","0","0"
"140_0ml-6","767.86","161.71","398.1","100.47","194.04","181.74","30.09","36.82","164.12","53.49","103.73","9.66","23.46","21.74","42.69","139.19","17.86","7.08","2647","37.9","0","0","7.87","0","0","0"
"140_0ml-7","767.86","161.71","397.19","108.91","193.29","197.18","31.92","39.68","177.99","53.49","102.73","10.37","24.27","22.54","41.83","149.14","17.28","7.08","2651","37.9","0","0","7.87","0","0","0"
"140_0ml-8","767.86","161.71","397.19","98.78","193.29","178.23","29.18","36","161.81","53.86","95.75","9.66","23.46","20.93","42.69","136.98","17.28","7.08","2718","37.9","0","0","7.88","0","0","0"
"140_0ml-9","767.86","161.71","397.19","100.47","194.04","181.04","29.64","36.41","164.12","53.86","102.73","9.66","23.46","20.93","42.69","140.3","17.86","7.08","2674","37.9","0","0","7.88","0","0","0"
"142_0ml-1","847.88","189.46","469.74","117.35","238.99","200.69","39.21","47.45","218.45","67.42","139.63","12.16","27.51","27.37","57.2","192.22","21.31","7.97","2650","38.5","0","0","7.11","0","0","0"
"142_0ml-10","847.11","189.46","468.83","116.51","238.99","199.99","39.21","47.04","218.45","67.42","138.63","12.16","26.7","24.96","56.35","191.11","21.31","7.97","2648","38.5","0","0","7.17","0","0","0"
"142_0ml-2","848.65","189.46","469.74","117.35","238.99","201.39","39.21","47.45","219.6","67.42","139.63","12.16","28.31","27.37","57.2","193.32","21.31","7.97","2719","38.5","0","0","7.11","0","0","0"
"142_0ml-3","847.88","189.46","469.74","128.33","238.99","222.44","43.32","52.36","241.56","67.42","147.61","13.24","29.93","28.98","57.2","208.79","21.31","8.85","2647","38.5","0","0","7.11","0","0","0"
"142_0ml-4","847.88","189.46","468.83","119.89","238.99","207.01","40.13","48.68","225.38","67.42","146.61","12.52","27.51","26.57","56.35","196.64","21.31","7.97","2647","38.5","0","0","7.11","0","0","0"
"142_0ml-5","847.88","189.46","468.83","116.51","238.99","200.69","39.21","47.45","218.45","67.42","138.63","12.16","26.7","25.76","56.35","192.22","21.31","7.97","2646","38.5","0","0","7.11","0","0","0"
"142_0ml-6","847.11","189.46","469.74","116.51","238.99","199.99","39.21","47.45","218.45","67.42","138.63","12.16","26.7","25.76","56.35","191.11","21.31","7.97","2651","38.5","0","0","7.13","0","0","0"
"142_0ml-7","847.11","189.46","469.74","119.89","238.99","204.2","40.13","48.27","223.07","67.42","146.61","12.52","27.51","25.76","56.35","205.48","21.31","7.97","2638","38.5","0","0","7.13","0","0","0"
"142_0ml-8","847.11","189.46","469.74","116.51","238.99","199.99","39.21","47.45","218.45","67.42","138.63","12.16","26.7","24.96","56.35","191.11","21.31","7.97","2652","38.5","0","0","7.13","0","0","0"
